# One photo per line:   filename.jpg | Caption | Location Year
# Files live in data/photos/  -  just write the filename, no folder needed.
# A line starting with # is IGNORED - use that to hide a photo without deleting it.

2017_SOAD_Krakow.jpg | System of a Down & my crowd surfing | Kraków [Poland] '17
2018_Nita Strauss & Angel Vivaldi & Jacky Vincent The Guitar Collective 2018.jpg | Nita Strauss, Angel Vivaldi & Jacky Vincent | Denver, CO [USA] '18
20150624_012413.jpg | Jacoby Shaddix (Papa Roach) | Helsinki [Finland] '15
20110805604.jpg | Robert Friedrich 'Litza' (Luxtorpeda, Acid Drinkers) | Kostrzyn n/Odrą [Poland] '11
20150928_193356.jpg | Rou Reynolds & Chris Batten (Enter Shikari) | Warsaw [Poland] '15
20171028_201716.jpg | Robert Szymański (Sexbomba) | Kraków [Poland] '17
IMG_5297.JPG | Greg Graffin (Bad Religion) | Las Vegas, NV [USA] '23
IMG_5333.JPEG | Greg Graffin (Bad Religion) | Las Vegas, NV [USA] '23
20171023_224110.jpg | Thomas Zwijsen & Ben Woods | Kraków, PL '16
20190919_235229.jpg | Thomas Zwijsen & Wiki Krawczyk | Kraków, PL '19
IMG_6520.JPEG | Nick Oliveri (Kyuss, Queens of the Stone Age, The Dwarves) | Atlanta, GA [USA] '23
IMG_6897.JPEG | Olga Svetlanas (Svetlanas) | Las Vegas, NV [USA] '23
2013-03-09-1202.jpg | Ine Kafe | Tychy [Poland] '13
092-inekafe-zabili-mi-zolwia-64.jpg | Ine Kafe pogo | Tychy [Poland] '13
IMAG0945.jpg | Chris Barker (Chris No. 2) [Anti-Flag]  | Kraków [Poland] '13
20211023_005012.jpg | Zenek Kutapasa (Kabanos) | Kraków [Poland] '21
20220130_220701.jpg | Marek Raduli (Budka Suflera, Bajm, TSA) | Kraków [Poland] '22
20220218_224650.jpg | Tomasz "Titus" Pukacki (Acid Drinkers, Orgasmotron) | Kraków [Poland] '22
20220218_230441.jpg | Wojciech Hoffman (Turbo, Orgasmotron) | Kraków [Poland] '22
20220218_231225.jpg | Tomasz "Titus" Pukacki (Acid Drinkers, Orgasmotron) | Kraków [Poland] '22
20221211_231724.jpg | Nocny Kochanek | Kraków [Poland] '21
IMG_6891.jpg | Stigma (Agnostic Front) | Atlanta [USA] '24
IMG_6893.jpg | Jimmy G. (Murphy's Law) | Atlanta [USA] '24

# --- hidden for now: delete the "#" to show one, and add a caption ---
# 092-inekafe-zabili-mi-zolwia-64.jpg |  | 
# 1534332_759099367434862_1388586623_n.jpg |  | 
# 20140618_221359_re.jpg |  | 
# 20150624_012433.jpg |  | 
# 30072010249.jpg |  | 
# AIMAG0931.jpg |  | 
# AIMAG0939.jpg |  | 
# IMAG0945.jpg |  | 
# IMG_99999.jpg |  | 
